HeatingQC	CentralAir	Electrical	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	KitchenQual	TotRmsAbvGrd	Functional	Fireplaces	FireplaceQu	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	GarageQual	GarageCond	PavedDrive	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	PoolQC	Fence	MiscFeature	MiscVal	MoSold	YrSold	SaleType	SaleCondition
																										1.0	2.0	3.0											
																										1.0	15.0	2.0											
																										1.0	5.0	1.0											
																										1.0	1.0	1.0											
																										1.0													
																										1.0	6.0			2.0									
																										1.0													
																										1.0	13.0												
																										1.0	28.0	2.0											
																										1.0				2.0									
																										1.0	1.0	2.0											
																										1.0	3.0	1.0		3.0									
																										1.0													
																										1.0	5.0	1.0	1.0										
																										1.0													
																										1.0													
																										1.0													
																										1.0	1.0												
																										1.0	2.0												
																										1.0	1.0												
																										1.0	3.0	1.0	1.0										
																										1.0	2.0		3.0	4.0									
																										1.0													
																											25.0	2.0											
																											13.0	3.0											
																											13.0												
																											13.0												
																											10.0												
																											9.0												
																											7.0												
																											7.0	1.0											
																											6.0	1.0											
																											6.0												
																											6.0												
																											6.0												
																											5.0	1.0											
																											5.0												
																											5.0			1.0									
																											4.0	2.0											
																											4.0												
																											4.0	1.0											
																											4.0												
																											3.0	1.0											
																											3.0												
																											2.0												
																											2.0	2.0											
																											1.0												
																											1.0												
																											1.0												
																											1.0												
																											1.0	1.0											
																												1.0		1.0									
																												1.0											
																														1.0									
																																	329.0						
																																	118.0						
																																	112.0						
																																	12.0						
																																		95.0					
																																		5.0					
																																		4.0					
																																		1.0					
																																			2.0				
																																			2.0				
																																			1.0				
																																			1.0				
																																			1.0				
																																			1.0				
																																			1.0				
																																			1.0				
																																						2525.0	
																																						239.0	
																																						87.0	
																																						26.0	
																																						12.0	
																																						9.0	
																																						8.0	
																																						7.0	
																																						5.0	
																																							2402.0
																																							245.0
																																							190.0
																																							46.0
																																							24.0
																																							12.0
